FlightDate,OriginCityName,DestCityName,CRSDepTime,DepTime,DepDelayMinutes,WeatherDelay,Distance,ArrDelayMinutes,OriginCityName_clean,station_id,city_name,date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min,city_name_clean,Month,has_weather_data,is_severe_delay,is_heavy_precipitation,DayOfWeek,IsWeekend,DelayCategory,Distance_scaled,avg_temp_c_scaled,precipitation_mm_scaled,avg_wind_speed_kmh_scaled,WeatherCondition,TemperatureCategory
2022-11-11,"Denver, CO","Fort Lauderdale, FL",754,748.0,0.0,0.0,1703.0,21.0,denver,72469,Denver,2022-11-11,Autumn,-2.0,-7.8,10.0,0.0,0.0,33.0,12.6,,1024.2,,denver,11,1,0,0,4,0,OnTime,1.5855373738152625,-3.5604705103793775,-0.1538199655217408,0.17271745598400035,,Extreme Cold
2019-08-25,"Chicago, IL","Miami, FL",930,926.0,0.0,0.0,1197.0,0.0,chicago,,,,,16.6,,,0.0,,,11.9,,,,,8,0,0,0,6,1,OnTime,0.7174615229901928,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2022-11-24,"San Juan, PR","Washington, DC",1808,1900.0,52.0,0.0,1554.0,47.0,san juan,87311,San Juan,2022-11-24,Spring,28.6,13.0,40.0,0.0,,114.0,11.8,,1007.4,,san juan,11,1,0,0,3,0,Moderate,1.3299182003509633,2.3635147171875035,-0.1538199655217408,-0.10733020598515257,,Warm
2018-01-19,"Nashville, TN","Newark, NJ",1355,1430.0,35.0,0.0,748.0,49.0,nashville,72327,Nashville,2018-01-19,Winter,-0.9,-7.7,9.4,0.0,0.0,188.0,13.3,,1025.0,,nashville,1,1,0,0,4,0,Moderate,-0.052827127247863245,-3.3475167930485417,-0.1538199655217408,0.41775916020700987,,Extreme Cold
2020-05-21,"Boston, MA","Cleveland, OH",1616,1559.0,0.0,0.0,563.0,0.0,boston,72509,Boston,2020-05-21,Spring,14.3,7.2,25.0,0.0,,204.0,18.0,,1026.9,,boston,5,1,0,0,3,0,OnTime,-0.3702066379250133,-0.4048836081133591,-0.1538199655217408,2.063039174275785,,Mild
2020-07-16,"San Francisco, CA","Los Angeles, CA",1700,1658.0,0.0,0.0,337.0,0.0,san francisco,,,,,16.6,,,0.0,,,11.9,,,,,7,0,0,0,3,0,OnTime,-0.7579243104279101,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2019-11-09,"Manchester, NH","Charlotte, NC",1425,1419.0,0.0,0.0,737.0,0.0,manchester,,,,,16.6,,,0.0,,,11.9,,,,,11,0,0,0,5,1,OnTime,-0.07169834139623432,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2020-10-05,"Boston, MA","Baltimore, MD",1500,1455.0,0.0,0.0,369.0,0.0,boston,72509,Boston,2020-10-05,Autumn,13.9,11.1,17.2,0.0,,55.0,13.7,,1021.0,,boston,10,1,0,0,0,0,OnTime,-0.703026232905376,-0.4823213235063903,-0.1538199655217408,0.557782991191586,,Mild
2019-12-19,"Pittsburgh, PA","Atlanta, GA",700,706.0,6.0,0.0,526.0,0.0,pittsburgh,,,,,16.6,,,0.0,,,11.9,,,,,12,0,0,0,3,0,Minor,-0.43368254006044327,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2019-05-10,"Albany, NY","Detroit, MI",1315,1309.0,0.0,0.0,489.0,0.0,albany,72518,Albany,2019-05-10,Spring,13.9,11.1,20.6,5.8,0.0,184.0,23.8,,,,albany,5,1,0,0,4,0,OnTime,-0.4971584421958733,-0.4823213235063903,1.2316379191405162,4.0933847235521466,Moderate Rain,Mild
